PSRJ,GL,P1,RAJ_ERR,ELONG,DECJ,BSURF,PMDEC_ERR,PMELONG,DM,PML,P0_ERR,PMELAT_ERR,P1_ERR,PX,AGE,PMELAT,DECJD,POSEPOCH,DECJ_ERR,PX_ERR,RAJD_ERR,PMDEC,GB,DIST,PMELONG_ERR,PMRA_ERR,PMB,ELONG_ERR,PMRA,BNAME,RAJD,P0,ELAT,DM_ERR,DECJD_ERR,EDOT,ELAT_ERR,RAJ
J0024-7204V,305.89481032739803,,,311.2524400788456,-72:04:52.62,,0.03,0.5704830075443388,24.105,-5.572260349427968,6.941313772958843e-11,,,0.232,,-5.80857548268964,-72.08128333333333,51000.0,,0.009,,-2.55,-44.88933244241838,4.52,,0.03,1.7363509432694975,,5.25,,6.023624999999999,0.004810167624577076,-62.35277597121416,,,,,00:24:05.67
J0024-7204W,305.8943231640543,-8.65526281112411e-20,0.001,311.2548028839839,-72:04:49.088,,0.03,0.5705392502541975,24.37,-5.572203310578844,2.766762398466934e-16,,1.1067049593867737e-24,0.232,,-5.808569958597328,-72.08030222222222,50000.0,0.002,0.009,4.166666666666666e-06,-2.55,-44.890376891707405,4.52,,0.03,1.7365339805411661,,5.25,,6.025241666666666,0.0023523445319369924,-62.35268714593267,0.004,5.555555555555555e-07,,,00:24:06.058
J0024-7204X,305.8774008050082,1.8361022313350593e-20,9e-05,311.3863881199458,-72:01:17.4414,299520749.7971948,0.03,0.5757938020520919,24.538,-5.5698745830383185,4.5534861774547016e-17,,6.830229266182053e-25,0.232,4117429694.826093,-5.808051437230767,-72.0215115,54000.0,0.0007,0.009,3.75e-07,-2.55,-44.9516330959132,4.52,,0.03,1.7439888558198111,,5.25,,6.093273541666666,0.004771522910693556,-62.339800090229474,0.002,1.9444444444444445e-07,6.672453482274565e+33,,00:24:22.38565
J0024-7204Y,305.9030787556382,-3.517211322672725e-20,0.0001,311.251778234455,-72:04:41.8363,,0.03,0.5721386976143461,24.475,-5.572949461206834,4.825302606182828e-17,,9.650605212365657e-25,0.232,,-5.808412632612472,-72.07828786111111,51600.0,0.0004,0.009,4.1666666666666667e-07,-2.55,-44.891475046760505,4.52,,0.03,1.7341379134412676,,5.25,,6.005844166666667,0.002196657143521225,-62.34654615251984,0.003,1.1111111111111112e-07,,,00:24:01.4026
J0024-7204Z,305.89362729116067,-4.542715023036062e-21,0.002,311.2484540599315,-72:05:01.480,,0.03,0.5699759301154468,24.45,-5.572190468776421,2.0742990972767405e-15,,6.222897291830221e-23,0.232,,-5.8086252624083965,-72.08374444444443,51600.0,0.006,0.009,8.333333333333332e-06,-2.55,-44.886970088468864,4.52,,0.03,1.7365751868770822,,5.25,,6.025170833333333,0.004554447383905912,-62.35446781732027,0.04,1.6666666666666667e-06,,,00:24:06.041
J0024-7204aa,305.89481032739803,,,311.2524400788456,-72:04:52.62,,0.03,0.5704830075443388,24.921,-5.572260349427968,,,,0.232,,-5.80857548268964,-72.08128333333333,57022.0,,0.009,,-2.55,-44.88933244241838,4.52,,0.03,1.7363509432694975,,5.25,,6.023624999999999,0.00184,-62.35277597121416,0.002,,,,00:24:05.67
J0024-7204ab,305.89064639442404,9.819775134183883e-21,0.0005,311.2585991292391,-72:04:47.602,193007295.80808252,0.03,0.5700347303097133,24.3256,-5.571871809764238,5.489741514568209e-16,,8.234612271852313e-24,0.232,5977374228.348338,-5.8086194922925305,-72.07988944444445,51600.0,0.002,0.009,2.083333333333333e-06,-2.55,-44.8911879150136,4.52,,0.03,1.7375973456340597,,5.25,,6.034006249999999,0.003704639494798451,-62.3547704023295,0.0005,5.555555555555555e-07,7.62471161784515e+33,,00:24:08.1615
J0024-7204ac,305.8948114998809,,,311.2524502853589,-72:04:52.6,,0.03,0.5704839241247699,24.46,-5.5722603745044115,,,,0.232,,-5.808575392668602,-72.08127777777777,,,0.009,,-2.55,-44.88933793552171,4.52,,0.03,1.7363508627947088,,5.25,,6.023624999999999,0.00274,-62.35277306714099,,,,,00:24:05.67
J0024-7204ad,305.8948114998809,,,311.2524502853589,-72:04:52.6,,0.03,0.5704839241247699,24.41,-5.5722603745044115,,,,0.232,,-5.808575392668602,-72.08127777777777,,,0.009,,-2.55,-44.88933793552171,4.52,,0.03,1.7363508627947088,,5.25,,6.023624999999999,0.00374,-62.35277306714099,,,,,00:24:05.67
J0026+6320,120.17645293900854,1.5060858194607203e-16,0.008,42.15970034608842,+63:20:00.87,221581024249.2009,,,245.06,,2.027033404388587e-11,,5.067583510971472e-19,,33491282.05900477,,63.333575,56675.0,0.05,,3.333333333333333e-05,,0.5934902968250356,6.619,,,,,,,6.7106708333333325,0.3183577707853687,53.03781499179856,0.06,1.388888888888889e-05,1.8427358759094346e+32,,00:26:50.561
J0026-1955,83.29077362672086,,,357.80880728348455,-19:55:59,,,,20.869,,5e-06,,,,,,-19.93305555555556,58880.5,,,,,-80.82880923097112,25.0,,,,,,,6.6499999999999995,1.30615,-20.860535297423244,0.005,,,,00:26:36
J0030+0451,113.14112257318372,1.0173788636913331e-20,5.037481328732909e-05,8.910338462,+04:51:39.7318979,225140168.78095478,0.14,-5.51,4.331,-6.02244477676746,4.734527136334938e-17,3.0,2.367263568167469e-25,2.91,7577163065.565625,3.0,4.861036638304959,59251.0,0.0016356417389640063,0.18,2.098950553638712e-07,0.37,-57.61132070575905,0.3436401134122888,0.07,0.05,1.2998303392313821,1.3e-08,-6.15,,7.614260327554686,0.004865453286352125,1.445705,0.001,4.5434492749000174e-07,3.487165231123908e+33,5e-07,00:30:27.42247861
J0032+6946,121.30090241651469,3.589655626025617e-18,0.0003,50.71621375,+69:46:28.047,11631148744.094215,,,79.9988,,4.063555608160512e-16,,4.0635556081605125e-24,,162444767.5633232,,69.7744575,56736.0,0.002,,1.2499999999999997e-06,,6.962111710685166,2.289,,,,8e-08,,,8.171865416666666,0.03680378426267473,57.28423181,0.0002,5.555555555555555e-07,2.8427266069378553e+33,5e-08,00:32:41.2477
J0033+57,120.41049568913158,,,36.94157138136107,+57:00:00,,,,75.65,,,,,,,,57.0,54100.0,,,,,-5.7814535409917145,2.251,,,,,,,8.25,0.315,47.59345099774291,0.09,,,,00:33
J0033+61,120.69795792766189,,,40.63424988908173,+61:00:00,,,,37.7,,,,,,,,61.0,54100.0,,,,,-1.7917468419025733,1.654,,,,,,,8.25,0.912,50.784720034543575,0.3,,,,00:33
J0034+69,121.41093213452243,,3.0,50.78268475935471,+69:43,,,,80.01,,1.6e-07,,,,,,69.71666666666667,56292.0,18.0,,0.75,,6.896433442146295,2.283,,,,,,,8.499999999999998,0.03680412,57.161958744191445,0.015,0.3,,,00:34
J0034-0534,111.49219431249938,4.966e-21,8e-05,5.672433997123994,-05:34:36.722,97702688.21573687,0.6,3.5893853953800794,13.76517,6.143072668473025,2e-16,,1e-24,,5989156705.762569,-11.583018280372013,-5.576867222222222,55000.0,0.003,,3.333333333333333e-07,-9.2,-68.06857444598035,1.348,,0.3,-10.45526939824413,,7.9,,8.590975916666666,0.001877181884585,-8.52845226991269,4e-05,8.333333333333333e-07,2.9637897279528443e+34,,00:34:21.83422
J0034-0721,110.42168650922282,4.090124291494862e-16,1.2,4.900855888338025,-07:21:49.34373,628438668258.0261,0.16,5.058232729274069,16.05545191054386,8.0086622367004,2.6674723640183883e-09,,8.891574546727964e-17,0.93,36527409.093764775,-14.346709785051788,-7.363706591666666,59400.0,61.2,0.08,0.004999999999999999,-11.13,-69.8144092631084,1.03,,0.08,-12.93348867005533,,10.37,B0031-07,8.537173701666665,0.9429514593407213,-10.14586769612846,,0.017,1.9258756024091956e+31,,00:34:08.9216884
J0036-1033,110.03332433047485,2.131e-16,0.04,4.077936314236024,-10:33:14.2,443164740241.7769,,,23.1,,3e-09,,3e-19,,66915939.42579483,,-10.553944444444445,58774.0,0.9,,0.00016666666666666666,,-73.04421964890557,25.0,,,,,,,9.062541666666664,0.900009289,-13.276002927328648,0.2,0.00025,1.1539904399125138e+31,,00:36:15.01
J0038-2501,67.4132876997369,7.6e-19,0.01,358.048842735551,-25:01:30.73,14140383527.698393,,,5.71,,1.7e-12,,6e-21,,5356255360.5591545,,-25.02520277777778,57474.0,0.02,,4.1666666666666665e-05,,-86.35368585034865,0.604,,,,,,,9.542766666666665,0.2569264575329,-26.606766649333203,0.003,5.555555555555556e-06,1.7690774316190028e+30,,00:38:10.264
J0039+35,120.12129533181988,,12.0,24.162983388335096,+35:45,,,,53.04,,,,,,,,35.75,,3.0,,0.04999999999999999,,-27.054406817734016,25.0,,,,,,,9.775,0.5367,28.765726530894472,,0.05,,,00:39:06
J0040+5716,121.45238541677733,2.8789727450368897e-15,0.0001,38.40704829279745,+57:16:24.833,1815655379955.4292,0.1,7.009885003349771,92.515,12.149275023233299,1.2504279227398006e-12,,1.1253851304660048e-20,0.11,6154004.583225386,-11.555674460619421,57.27356472222222,56000.0,0.001,0.04,4.1666666666666667e-07,-5.4,-5.566872119131763,2.42,,0.05,-5.921757881730689,,12.39,B0037+56,10.134957916666666,1.1182253452411999,47.2228327405367,0.003,2.7777777777777776e-07,8.128479138387854e+31,,00:40:32.3899
J0040-7326,304.01914811024733,5.6055166651654614e-15,0.07,309.91341467542856,-73:26:26.09,1512715549564.0198,,,85.7,,1.5892706941015174e-11,,9.53562416461015e-19,,1126806.4564267525,,-73.44058055555556,59692.1,0.17,,0.00029166666666666664,,-43.664354994038675,58.216,,,,,,,10.099041666666665,0.39865658079373495,-64.06735930600007,0.6,4.722222222222223e-05,3.4928390359213494e+33,,00:40:23.77
J0040-7335,303.9563570909851,2.3852593532516857e-14,0.03,309.62637668779985,-73:35:53.60,1883338363990.4016,,,198.27,,1.4761834240515082e-12,,4.21766692586424e-19,,96460.9582483952,,-73.59822222222222,59692.1,0.08,,0.000125,,-43.50908268521343,61.176,,,,,,,10.227458333333331,0.14521823105005535,-64.16972760188456,0.06,2.2222222222222223e-05,3.0749065224837403e+35,,00:40:54.59
J0040-7337,303.96753247507127,3.404079875921098e-14,0.6,309.574983935182,-73:37:07.0,1444846770596.8977,,,101.79,,1.4346559375918653e-10,,3.2279758637017894e-18,,27874.69855383487,,-73.61861111111111,59942.0,2.5,,0.0024999999999999996,,-43.48820063113822,58.717,,,,,,,10.194583333333332,0.059888561879374455,-64.17034225158943,0.04,0.0006944444444444445,6.256447804467967e+36,,00:40:46.7
J0043-73,303.74796904564204,9.328811162319498e-15,0.03,310.34119801235374,-73:19:55.62,2992495929747.549,,,120.8,,1.4060531538218467e-11,,7.909048990248383e-19,,1592137.653431312,,-73.33211666666666,59692.1,0.08,,0.000125,,-43.783112574189076,59.103,,,,,,,10.805041666666664,0.937434382310919,-64.20032444954875,0.5,2.2222222222222223e-05,4.470575197889616e+32,,00:43:13.21
J0044-7314,303.5811643616642,1.7619305682661087e-15,0.12,310.6714524776626,-73:13:59.3,846237528856.4794,,,78.6,,1.1027820080349392e-11,,9.4524172117281e-19,,3569217.904366656,,-73.23313888888889,59692.1,0.6,,0.0005,,-43.88693290116691,57.955,,,,,,,11.237291666666666,0.396913450089732,-64.26849466563431,0.5,0.00016666666666666666,1.1124002534741908e+33,,00:44:56.95
J0045-7042,303.65210045847874,2.49e-15,0.17,315.742694678455,-70:42:07.1,1269765541137.0225,,,71.3,,6e-11,,3e-17,,4023596.8592345403,,-70.70197222222222,52407.0,1.3,,0.0007083333333333334,,-46.417875677095665,59.7,,,,,,,11.357041666666666,0.63233580002,-63.10259386728122,0.3,0.00036111111111111115,3.887906149067e+32,,00:45:25.69
J0045-7319,303.5137871349675,4.4632e-15,0.07,310.5425245719975,-73:19:03.0,2057516544263.8838,,,104.6,,3e-11,,9e-19,,3288213.8618825614,,-73.3175,49144.0,0.2,,0.00029166666666666664,,-43.804140467520526,59.7,,,,,,,11.3965,0.92627590497,-64.34654321880717,0.4,5.555555555555556e-05,2.2170984797698355e+32,,00:45:35.16
J0048+3412,122.25526290419286,2.354540983090378e-15,0.030242076454566343,25.35747,+34:12:08.04717719,1713030986865.5388,,,39.92,,7.406592627479185e-12,,5.925274101984041e-20,,8190002.04464591,,34.202235326995954,49875.0,0.25864637833815607,,0.00012600865189402643,,-28.665739508347144,4.5,,,,7e-05,,B0045+33,12.141599275292071,1.2170942960575557,26.52166,,7.184621620504336e-05,5.155767322319507e+31,0.00011,00:48:33.98382607
J0048-7317,303.17992150162246,3.3021665914460604e-14,0.09,310.8280998453718,-73:17:46.0,1637664363134.5837,,,292.42,,3.145369901839368e-11,,6.290739809130888e-19,,38055.54265515194,,-73.2961111111111,59860.0,0.4,,0.0003749999999999999,,-43.83094241533358,100.0,,,,,,,12.237041666666666,0.07931418412666637,-64.55530632768692,0.07,0.00011111111111111112,2.6127997897415095e+36,,00:48:56.89
J0050+03,122.48481007314317,,30.0,13.096745956324424,+03:48,,,,26.5,,,,,,,,3.8,57022.0,8.0,,0.12499999999999999,,-59.07094781096082,25.0,,,,,,,12.629166666666666,1.36656,-1.4883530681049273,,0.13333333333333333,,,00:50:31
J0051+0423,122.96233367442876,0.0,0.2,13.548414244506057,04:22:49,,,,13.93,,3e-06,,3.1e-07,,,,4.380277777777778,56795.562,6.0,,0.0008333333333333333,,-58.49146604298863,1.25,,,,,,,12.875416666666666,0.354732,-1.0488657542740438,,0.0016666666666666666,,,00:51:30.1
J0052-72,302.9169397627127,1.3828131686638746e-14,0.017,313.56586715863483,-72:04:23.74,1646478587021.8513,,,159.3,,4.03171761581592e-12,,2.56563848279856e-19,,219356.87026229003,,-72.07326111111111,59692.1,0.14,,7.083333333333332e-05,,-45.05498730098315,60.252,,,,,,,12.893870833333331,0.19144706402971887,-64.19230168169557,0.2,3.888888888888889e-05,7.779955480693641e+34,,00:51:34.529
J0054+66,123.19283364691005,,,48.71996408209241,+66:00:00,,,,15.0,,,,,,,,66.0,54100.0,,,,,3.129550360533916,0.901,,,,,,,13.499999999999998,1.39,53.16758575896816,,,,,00:54
J0054+6650,,5.551230279088264e-15,0.0041790037830081814,49.753944,+66:50:23.79337048,2811162645301.693,,,,,1.1596227944033473e-11,,9.663523286698999e-20,,3967889.238089308,,66.8399426029121,,0.0024972716428877458,,1.7412515762534086e-05,,,,,,,8e-06,,,13.730947962219417,1.390217485625509,53.746402,,6.936865674688182e-07,8.156441774092086e+31,5e-06,00:54:55.42751093
